-------------------------last log tuples start--------------------------------
Time [clock=4, time=2015-05-28 12:08:14.213]
org notification: Time [clock=4, time=2015-05-28 12:08:14.213]
Time [clock=9, time=2015-05-28 12:09:04.229]
org notification: Time [clock=9, time=2015-05-28 12:09:04.229]
Time [clock=11, time=2015-05-28 12:09:24.235]
Time [clock=2, time=2015-05-28 12:07:54.206]
org notification: Time [clock=11, time=2015-05-28 12:09:24.235]
Time [clock=8, time=2015-05-28 12:08:54.225]
org notification: Time [clock=2, time=2015-05-28 12:07:54.206]
Time [clock=6, time=2015-05-28 12:08:34.22]
org notification: Time [clock=8, time=2015-05-28 12:08:54.225]
Time [clock=13, time=2015-05-28 12:09:44.24]
org notification: Time [clock=6, time=2015-05-28 12:08:34.22]
Time [clock=10, time=2015-05-28 12:09:14.231]
org notification: Time [clock=13, time=2015-05-28 12:09:44.24]
Time [clock=1, time=2015-05-28 12:07:44.19]
Time [clock=12, time=2015-05-28 12:09:34.239]
org notification: Time [clock=10, time=2015-05-28 12:09:14.231]
org notification: Time [clock=1, time=2015-05-28 12:07:44.19]
Time [clock=7, time=2015-05-28 12:08:44.222]
org notification: Time [clock=12, time=2015-05-28 12:09:34.239]
Time [clock=3, time=2015-05-28 12:08:04.21]
org notification: Time [clock=7, time=2015-05-28 12:08:44.222]
Time [clock=5, time=2015-05-28 12:08:24.217]
org notification: Time [clock=3, time=2015-05-28 12:08:04.21]
org notification: Time [clock=5, time=2015-05-28 12:08:24.217]
-------------------------last log tuples end----------------------------------
org notification: Time [clock=14, time=2015-05-28 12:09:54.243]
org notification: Time [clock=14, time=2015-05-28 12:09:54.243]
org notification: Time [clock=1, time=2015-05-28 12:09:59.008]
org notification: Time [clock=1, time=2015-05-28 12:09:59.008]
org notification: Time [clock=15, time=2015-05-28 12:10:04.246]
org notification: Time [clock=15, time=2015-05-28 12:10:04.246]
org notification: Time [clock=2, time=2015-05-28 12:10:09.012]
org notification: Time [clock=2, time=2015-05-28 12:10:09.012]
org notification: Time [clock=16, time=2015-05-28 12:10:14.251]
org notification: Time [clock=16, time=2015-05-28 12:10:14.251]
org notification: Time [clock=3, time=2015-05-28 12:10:19.016]
org notification: Time [clock=3, time=2015-05-28 12:10:19.016]
org notification: Time [clock=17, time=2015-05-28 12:10:24.254]
org notification: Time [clock=17, time=2015-05-28 12:10:24.254]
org notification: Time [clock=4, time=2015-05-28 12:10:29.019]
org notification: Time [clock=4, time=2015-05-28 12:10:29.019]
org notification: Time [clock=18, time=2015-05-28 12:10:34.258]
org notification: Time [clock=18, time=2015-05-28 12:10:34.258]
org notification: Time [clock=5, time=2015-05-28 12:10:39.022]
org notification: Time [clock=5, time=2015-05-28 12:10:39.022]
org notification: Time [clock=19, time=2015-05-28 12:10:44.261]
org notification: Time [clock=19, time=2015-05-28 12:10:44.261]
org notification: Time [clock=6, time=2015-05-28 12:10:49.025]
org notification: Time [clock=6, time=2015-05-28 12:10:49.025]
org notification: Time [clock=20, time=2015-05-28 12:10:54.265]
org notification: Time [clock=20, time=2015-05-28 12:10:54.265]
org notification: Time [clock=7, time=2015-05-28 12:10:59.028]
org notification: Time [clock=7, time=2015-05-28 12:10:59.028]
org notification: Time [clock=21, time=2015-05-28 12:11:04.269]
org notification: Time [clock=21, time=2015-05-28 12:11:04.269]
org notification: Time [clock=8, time=2015-05-28 12:11:09.032]
org notification: Time [clock=8, time=2015-05-28 12:11:09.032]
org notification: Time [clock=22, time=2015-05-28 12:11:14.272]
org notification: Time [clock=22, time=2015-05-28 12:11:14.272]
org notification: Time [clock=9, time=2015-05-28 12:11:19.034]
org notification: Time [clock=9, time=2015-05-28 12:11:19.034]
org notification: Time [clock=23, time=2015-05-28 12:11:24.276]
org notification: Time [clock=23, time=2015-05-28 12:11:24.276]
org notification: Time [clock=10, time=2015-05-28 12:11:29.038]
org notification: Time [clock=10, time=2015-05-28 12:11:29.038]
